ref:PREF345678,iPhone 13,0,1,0,Latest smartphone,product_link,customs_code,123456,,,,,,public_note,private_note,0.2,0.15,0.007,0.14,0.01,0.0005,365d,1200,1000,1500,1200,HT,20,2023-11-29,1000
ref:PREF901234,Samsung Galaxy Watch 4,0,0,0,Smartwatch with fitness tracking,product_link,customs_code,654321,,,,,,public_note,private_note,0.05,0.04,0.003,0.03,0.002,0.0001,365d,300,250,350,300,HT,20,2023-11-29,250
ref:PREF567890,Nikon D850,0,1,0,Professional DSLR Camera,product_link,customs_code,987654,,,,,,public_note,private_note,2.5,0.14,0.09,0.12,0.008,0.001,365d,3000,2500,3500,3000,HT,20,2023-11-29,2500
ref:PREF123456,PlayStation 5,0,1,0,Next-gen gaming console,product_link,customs_code,789012,,,,,,public_note,private_note,4.5,0.39,0.28,0.4,0.025,0.003,365d,500,450,600,500,HT,20,2023-11-29,450
ref:PREF678901,Canon EOS R5,0,0,1,High-end mirrorless camera,product_link,customs_code,543210,,,,,,public_note,private_note,1.5,0.16,0.09,0.13,0.01,0.001,365d,3500,3000,4000,3500,HT,20,2023-11-29,3000
ref:PREF234567,Xbox Series X,0,1,0,Powerful gaming console,product_link,customs_code,210987,,,,,,public_note,private_note,5.0,0.3,0.25,0.4,0.03,0.004,365d,550,500,700,550,HT,20,2023-11-29,500
ref:PREF890123,Amazon Echo Dot,0,0,0,Smart speaker with Alexa,product_link,customs_code,876543,,,,,,public_note,private_note,0.3,0.1,0.1,0.1,0.01,0.0005,365d,50,40,60,50,HT,20,2023-11-29,40
ref:PREF456789,Google Pixel 6,0,1,0,Flagship smartphone,product_link,customs_code,321098,,,,,,public_note,private_note,0.18,0.15,0.007,0.14,0.01,0.0005,365d,900,800,1000,900,HT,20,2023-11-29,800
ref:PREF789012,LG OLED TV,0,1,0,High-quality OLED television,product_link,customs_code,987654,,,,,,public_note,private_note,20.5,0.9,0.5,1.2,0.07,0.008,365d,2500,2000,3000,2500,HT,20,2023-11-29,2000
ref:PREF34567845,Sony WH-1000XM4,0,0,1,Wireless Noise-Canceling Headphones,product_link,customs_code,123456,,,,,,public_note,private_note,0.25,0.2,0.05,0.2,0.02,0.001,365d,300,250,350,300,HT,20,2023-11-29,250
ref:PREF90123424,Apple Watch Series 7,0,0,1,Advanced Smartwatch,product_link,customs_code,654321,,,,,,public_note,private_note,0.05,0.04,0.003,0.03,0.002,0.0001,365d,400,350,500,400,HT,20,2023-11-29,350
ref:PREF567890556,Google Nest Hub,0,1,0,Smart Display with Google Assistant,product_link,customs_code,789012,,,,,,public_note,private_note,1.0,0.2,0.15,0.2,0.03,0.002,365d,150,120,180,150,HT,20,2023-11-29,120
ref:PREF23456765,Dell XPS 13,0,1,0,Ultrabook Laptop,product_link,customs_code,210987,,,,,,public_note,private_note,1.2,0.3,0.2,0.3,0.02,0.001,365d,1300,1100,1600,1300,HT,20,2023-11-29,1100
ref:PREF890123645,Fitbit Charge 5,0,0,1,Advanced Fitness Tracker,product_link,customs_code,876543,,,,,,public_note,private_note,0.05,0.02,0.01,0.02,0.001,0.0001,365d,120,100,150,120,HT,20,2023-11-29,100
ref:PREF45678931,Lenovo Legion Y540,0,1,0,Gaming Laptop,product_link,customs_code,321098,,,,,,public_note,private_note,2.3,0.4,0.3,0.4,0.03,0.002,365d,1700,1500,2000,1700,HT,20,2023-11-29,1500
ref:PREF012345135,Amazon Kindle Paperwhite,0,0,0,E-reader with Backlight,product_link,customs_code,543210,,,,,,public_note,private_note,0.2,0.15,0.01,0.15,0.005,0.0005,365d,90,80,110,90,HT,20,2023-11-29,80
ref:PREF678901132,GoPro HERO10 Black,0,1,0,Action Camera,product_link,customs_code,876543,,,,,,public_note,private_note,0.15,0.06,0.04,0.06,0.004,0.0003,365d,450,400,550,450,HT,20,2023-11-29,400
ref:PREF112233312,Sony PlayStation VR,0,0,0,Virtual Reality Headset,product_link,customs_code,334455,,,,,,public_note,private_note,1.0,0.2,0.15,0.2,0.03,0.002,365d,300,250,350,300,HT,20,2023-11-29,250
